RoundNumber,OfficeHumidityLowerLimit
0,30.0
1,30
2,30
3,30
4,30
5,30.0
6,30
7,30.0
8,30
9,30
10,30
11,30.0
12,30
13,30.0
14,30
15,30
16,30
17,30.0
18,30
19,30.0
20,30
21,30
22,30
23,30.0
24,30
25,30.0
26,30
27,30
28,30
29,30.0
30,30
31,30
32,30
33,30.0
34,30
35,30
36,30
37,30.0
38,30
39,30.0
40,30
41,30
42,30
43,30.0
44,30
45,30.0
46,30
47,30
48,30
49,30.0
50,30
51,30.0
52,30
53,30
54,30
55,30.0
56,30
57,30
58,30
59,30.0
60,30
61,30
62,30
63,30
64,30.0
65,30
66,30.0
67,30
68,30
69,30
70,30.0
71,30
72,30.0
73,30
74,30
75,30
76,30.0
77,30
78,30.0
79,30
80,30
81,30
82,30.0
83,30
84,30.0
85,30
86,30
87,30
88,30.0
89,30
90,30.0
91,30
92,30
93,30
94,30.0
95,30
96,30.0
97,30
98,30
99,30
100,30.0
101,30
102,30
103,30
104,30.0
105,30
106,30
107,30
108,30.0
109,30
110,30.0
111,30
112,30
113,30
114,30.0
115,30
116,30.0
117,30
118,30
119,30
120,30.0
121,30
122,30.0
123,30
124,30
125,30
126,30.0
127,30
128,30.0
129,30
130,30
131,30
132,30.0
133,30
134,30.0
135,30
136,30
137,30
138,30.0
139,30
140,30.0
141,30
142,30
143,30
144,30.0
145,30
146,30.0
147,30
148,30
149,30
150,30.0
151,30
152,30.0
153,30
154,30
155,30
156,30.0
157,30
158,30
159,30
160,30
161,30
162,30.0
163,30
164,30
165,30
166,30.0
167,30
168,30
169,30
170,30.0
171,30
172,30.0
173,30
174,30
175,30
176,30.0
177,30
178,30
179,30
180,30
181,30
182,30.0
183,30
184,30
185,30
186,30
187,30.0
188,30
189,30.0
190,30
191,30
192,30
193,30.0
194,30
195,30
196,30
197,30
198,30.0
199,30
200,30.0
201,30
202,30
203,30
204,30.0
205,30
206,30.0
207,30
208,30
209,30
210,30.0
211,30
212,30
213,30
214,30
215,30
216,30.0
217,30
218,30
219,30
220,30
221,30.0
222,30
223,30.0
224,30
225,30
226,30
227,30.0
228,30
229,30
230,30
231,30
232,30.0
233,30
234,30.0
235,30
236,30
237,30
238,30.0
239,30
240,30.0
241,30
242,30
243,30
244,30.0
245,30
246,30.0
247,30
248,30
249,30
250,30.0
251,30
252,30
253,30
254,30
255,30.0
256,30
257,30.0
258,30
259,30
260,30
261,30.0
262,30
263,30.0
264,30
265,30
266,30
267,30.0
268,30
269,30.0
270,30
271,30
272,30
273,30.0
274,30
275,30.0
276,30
277,30
278,30
279,30.0
280,30
281,30.0
282,30
283,30
284,30
285,30.0
286,30
287,30
288,30
289,30
290,30.0
291,30
292,30.0
293,30
294,30
295,30
296,30.0
297,30
298,30.0
299,30
300,30
301,30
302,30.0
303,30
304,30.0
305,30
306,30
307,30
308,30.0
309,30
310,30
311,30
312,30
313,30.0
314,30
315,30.0
316,30
317,30
318,30
319,30.0
320,30
321,30.0
322,30
323,30
324,30
325,30.0
326,30
327,30.0
328,30
329,30
330,30
331,30.0
332,30
333,30
334,30
335,30
336,30.0
337,30
338,30.0
339,30
340,30
341,30
342,30.0
343,30
344,30.0
345,30
346,30
347,30
348,30.0
349,30
350,30.0
351,30
352,30
353,30
354,30.0
355,30
356,30
357,30
358,30
359,30.0
360,30
361,30.0
362,30
363,30
364,30
365,30.0
366,30
367,30
368,30
369,30
370,30.0
371,30
372,30.0
373,30
374,30
375,30
376,30.0
377,30
378,30
379,30
380,30
381,30.0
382,30
383,30.0
384,30
385,30
386,30
387,30.0
388,30
389,30.0
390,30
391,30
392,30
393,30.0
394,30
395,30.0
396,30
397,30
398,30
399,30.0
400,30
401,30.0
402,30
403,30
404,30
405,30.0
406,30
407,30.0
408,30
409,30
410,30
411,30.0
412,30
413,30.0
414,30
415,30
416,30
417,30.0
418,30
419,30.0
420,30
421,30
422,30
423,30.0
424,30
425,30
426,30
427,30
428,30
429,30.0
430,30
431,30
432,30
433,30.0
434,30
435,30
436,30
437,30.0
438,30
439,30.0
440,30
441,30
442,30
443,30.0
444,30
445,30.0
446,30
447,30
448,30
449,30.0
450,30
451,30.0
452,30
453,30
454,30
455,30.0
456,30
457,30.0
458,30
459,30
460,30
461,30.0
462,30
463,30
464,30
465,30.0
466,30
467,30
468,30
469,30.0
470,30
471,30.0
472,30
473,30
474,30
475,30.0
476,30
477,30
478,30
479,30.0
480,30
481,30
482,30
483,30.0
484,30
485,30
486,30
487,30.0
488,30
489,30
490,30
491,30
492,30.0
493,30
494,30.0
495,30
496,30
497,30
498,30.0
499,30
500,30.0
501,30
502,30
503,30
504,30.0
505,30
506,30.0
507,30
508,30
509,30
510,30.0
511,30
512,30.0
513,30
514,30
515,30
516,30.0
517,30
518,30.0
519,30
520,30
521,30
522,30.0
523,30
524,30.0
525,30
526,30
527,30
528,30.0
529,30
530,30.0
531,30
532,30
533,30
534,30.0
535,30
536,30.0
537,30
538,30
539,30
540,30.0
541,30
542,30.0
543,30
544,30
545,30
546,30.0
547,30
548,30.0
549,30
550,30
551,30
552,30.0
553,30
554,30
555,30
556,30
557,30.0
558,30
559,30.0
560,30
561,30
562,30
563,30.0
564,30
565,30.0
566,30
567,30
568,30
569,30.0
570,30
571,30.0
572,30
573,30
574,30
575,30.0
576,30
577,30.0
578,30
579,30
580,30
581,30.0
582,30
583,30.0
584,30
585,30
586,30
587,30.0
588,30
589,30.0
590,30
591,30
592,30
593,30.0
594,30
595,30
596,30
597,30
598,30.0
599,30
600,30.0
601,30
602,30
603,30
604,30.0
605,30
606,30.0
607,30
608,30
609,30
610,30.0
611,30
612,30.0
613,30
614,30
615,30
616,30.0
617,30
618,30.0
619,30
620,30
621,30
622,30.0
623,30
624,30
625,30
626,30
627,30.0
628,30
629,30.0
630,30
631,30
632,30
633,30.0
634,30
635,30.0
636,30
637,30
638,30
639,30.0
640,30
641,30.0
642,30
643,30
644,30
645,30.0
646,30
647,30
648,30
649,30
650,30
651,30.0
652,30
653,30
654,30
655,30
656,30.0
657,30
658,30.0
659,30
660,30
661,30
662,30.0
663,30
664,30.0
665,30
666,30
667,30
668,30.0
669,30
670,30
671,30
672,30