RoundNumber,OfficeTemperatureUpperLimit
0,22.0
1,22
2,22
3,22
4,22
5,22.0
6,22
7,22.0
8,22
9,22
10,22
11,22.0
12,22
13,22.0
14,22
15,22
16,22
17,22.0
18,22
19,22.0
20,22
21,22
22,22
23,22.0
24,22
25,22.0
26,22
27,22
28,22
29,22.0
30,22
31,22
32,22
33,22.0
34,22
35,22
36,22
37,22.0
38,22
39,22.0
40,22
41,22
42,22
43,22.0
44,22
45,22.0
46,22
47,22
48,22
49,22.0
50,22
51,22.0
52,22
53,22
54,22
55,22.0
56,22
57,22
58,22
59,22.0
60,22
61,22
62,22
63,22
64,22.0
65,22
66,22.0
67,22
68,22
69,22
70,22.0
71,22
72,22.0
73,22
74,22
75,22
76,22.0
77,22
78,22.0
79,22
80,22
81,22
82,22.0
83,22
84,22.0
85,22
86,22
87,22
88,22.0
89,22
90,22.0
91,22
92,22
93,22
94,22.0
95,22
96,22.0
97,22
98,22
99,22
100,22.0
101,22
102,22
103,22
104,22.0
105,22
106,22
107,22
108,22.0
109,22
110,22.0
111,22
112,22
113,22
114,22.0
115,22
116,22.0
117,22
118,22
119,22
120,22.0
121,22
122,22.0
123,22
124,22
125,22
126,22.0
127,22
128,22.0
129,22
130,22
131,22
132,22.0
133,22
134,22.0
135,22
136,22
137,22
138,22.0
139,22
140,22.0
141,22
142,22
143,22
144,22.0
145,22
146,22.0
147,22
148,22
149,22
150,22.0
151,22
152,22.0
153,22
154,22
155,22
156,22.0
157,22
158,22
159,22
160,22
161,22
162,22.0
163,22
164,22
165,22
166,22.0
167,22
168,22
169,22
170,22.0
171,22
172,22.0
173,22
174,22
175,22
176,22.0
177,22
178,22
179,22
180,22
181,22
182,22.0
183,22
184,22
185,22
186,22
187,22.0
188,22
189,22.0
190,22
191,22
192,22
193,22.0
194,22
195,22
196,22
197,22
198,22.0
199,22
200,22.0
201,22
202,22
203,22
204,22.0
205,22
206,22.0
207,22
208,22
209,22
210,22.0
211,22
212,22
213,22
214,22
215,22
216,22.0
217,22
218,22
219,22
220,22
221,22.0
222,22
223,22.0
224,22
225,22
226,22
227,22.0
228,22
229,22
230,22
231,22
232,22.0
233,22
234,22.0
235,22
236,22
237,22
238,22.0
239,22
240,22.0
241,22
242,22
243,22
244,22.0
245,22
246,22.0
247,22
248,22
249,22
250,22.0
251,22
252,22
253,22
254,22
255,22.0
256,22
257,22.0
258,22
259,22
260,22
261,22.0
262,22
263,22.0
264,22
265,22
266,22
267,22.0
268,22
269,22.0
270,22
271,22
272,22
273,22.0
274,22
275,22.0
276,22
277,22
278,22
279,22.0
280,22
281,22.0
282,22
283,22
284,22
285,22.0
286,22
287,22
288,22
289,22
290,22.0
291,22
292,22.0
293,22
294,22
295,22
296,22.0
297,22
298,22.0
299,22
300,22
301,22
302,22.0
303,22
304,22.0
305,22
306,22
307,22
308,22.0
309,22
310,22
311,22
312,22
313,22.0
314,22
315,22.0
316,22
317,22
318,22
319,22.0
320,22
321,22.0
322,22
323,22
324,22
325,22.0
326,22
327,22.0
328,22
329,22
330,22
331,22.0
332,22
333,22
334,22
335,22
336,22.0
337,22
338,22.0
339,22
340,22
341,22
342,22.0
343,22
344,22.0
345,22
346,22
347,22
348,22.0
349,22
350,22.0
351,22
352,22
353,22
354,22.0
355,22
356,22
357,22
358,22
359,22.0
360,22
361,22.0
362,22
363,22
364,22
365,22.0
366,22
367,22
368,22
369,22
370,22.0
371,22
372,22.0
373,22
374,22
375,22
376,22.0
377,22
378,22
379,22
380,22
381,22.0
382,22
383,22.0
384,22
385,22
386,22
387,22.0
388,22
389,22.0
390,22
391,22
392,22
393,22.0
394,22
395,22.0
396,22
397,22
398,22
399,22.0
400,22
401,22.0
402,22
403,22
404,22
405,22.0
406,22
407,22.0
408,22
409,22
410,22
411,22.0
412,22
413,22.0
414,22
415,22
416,22
417,22.0
418,22
419,22.0
420,22
421,22
422,22
423,22.0
424,22
425,22
426,22
427,22
428,22
429,22.0
430,22
431,22
432,22
433,22.0
434,22
435,22
436,22
437,22.0
438,22
439,22.0
440,22
441,22
442,22
443,22.0
444,22
445,22.0
446,22
447,22
448,22
449,22.0
450,22
451,22.0
452,22
453,22
454,22
455,22.0
456,22
457,22.0
458,22
459,22
460,22
461,22.0
462,22
463,22
464,22
465,22.0
466,22
467,22
468,22
469,22.0
470,22
471,22.0
472,22
473,22
474,22
475,22.0
476,22
477,22
478,22
479,22.0
480,22
481,22
482,22
483,22.0
484,22
485,22
486,22
487,22.0
488,22
489,22
490,22
491,22
492,22.0
493,22
494,22.0
495,22
496,22
497,22
498,22.0
499,22
500,22.0
501,22
502,22
503,22
504,22.0
505,22
506,22.0
507,22
508,22
509,22
510,22.0
511,22
512,22.0
513,22
514,22
515,22
516,22.0
517,22
518,22.0
519,22
520,22
521,22
522,22.0
523,22
524,22.0
525,22
526,22
527,22
528,22.0
529,22
530,22.0
531,22
532,22
533,22
534,22.0
535,22
536,22.0
537,22
538,22
539,22
540,22.0
541,22
542,22.0
543,22
544,22
545,22
546,22.0
547,22
548,22.0
549,22
550,22
551,22
552,22.0
553,22
554,22
555,22
556,22
557,22.0
558,22
559,22.0
560,22
561,22
562,22
563,22.0
564,22
565,22.0
566,22
567,22
568,22
569,22.0
570,22
571,22.0
572,22
573,22
574,22
575,22.0
576,22
577,22.0
578,22
579,22
580,22
581,22.0
582,22
583,22.0
584,22
585,22
586,22
587,22.0
588,22
589,22.0
590,22
591,22
592,22
593,22.0
594,22
595,22
596,22
597,22
598,22.0
599,22
600,22.0
601,22
602,22
603,22
604,22.0
605,22
606,22.0
607,22
608,22
609,22
610,22.0
611,22
612,22.0
613,22
614,22
615,22
616,22.0
617,22
618,22.0
619,22
620,22
621,22
622,22.0
623,22
624,22
625,22
626,22
627,22.0
628,22
629,22.0
630,22
631,22
632,22
633,22.0
634,22
635,22.0
636,22
637,22
638,22
639,22.0
640,22
641,22.0
642,22
643,22
644,22
645,22.0
646,22
647,22
648,22
649,22
650,22
651,22.0
652,22
653,22
654,22
655,22
656,22.0
657,22
658,22.0
659,22
660,22
661,22
662,22.0
663,22
664,22.0
665,22
666,22
667,22
668,22.0
669,22
670,22
671,22
672,22