RoundNumber,RoomTemperatureLowerLimit1
0,27.5
1,27.5
2,27.5
3,27.5
4,27.5
5,27.5
6,27.5
7,27.5
8,27.5
9,27.5
10,27.5
11,27.5
12,27.5
13,27.5
14,27.5
15,27.5
16,27.5
17,27.5
18,27.5
19,27.5
20,27.5
21,27.5
22,27.5
23,27.5
24,27.5
25,27.5
26,27.5
27,27.5
28,27.5
29,27.5
30,27.5
31,27.5
32,27.5
33,27.5
34,27.5
35,27.5
36,27.5
37,27.5
38,27.5
39,27.5
40,27.5
41,27.5
42,27.5
43,27.5
44,27.5
45,27.5
46,27.5
47,27.5
48,27.5
49,27.5
50,27.5
51,27.5
52,27.5
53,27.5
54,27.5
55,27.5
56,27.5
57,27.5
58,27.5
59,27.5
60,27.5
61,27.5
62,27.5
63,27.5
64,27.5
65,27.5
66,27.5
67,27.5
68,27.5
69,27.5
70,27.5
71,27.5
72,27.5
73,27.5
74,27.5
75,27.5
76,27.5
77,27.5
78,27.5
79,27.5
80,27.5
81,27.5
82,27.5
83,27.5
84,27.5
85,27.5
86,27.5
87,27.5
88,27.5
89,27.5
90,27.5
91,27.5
92,27.5
93,27.5
94,27.5
95,27.5
96,27.5
97,27.5
98,27.5
99,27.5
100,27.5
101,27.5
102,27.5
103,27.5
104,27.5
105,27.5
106,27.5
107,27.5
108,27.5
109,27.5
110,27.5
111,27.5
112,27.5
113,27.5
114,27.5
115,27.5
116,27.5
117,27.5
118,27.5
119,27.5
120,27.5
121,27.5
122,27.5
123,27.5
124,27.5
125,27.5
126,27.5
127,27.5
128,27.5
129,27.5
130,27.5
131,27.5
132,27.5
133,27.5
134,27.5
135,27.5
136,27.5
137,27.5
138,27.5
139,27.5
140,27.5
141,27.5
142,27.5
143,27.5
144,27.5
145,27.5
146,27.5
147,27.5
148,27.5
149,27.5
150,27.5
151,27.5
152,27.5
153,27.5
154,27.5
155,27.5
156,27.5
157,27.5
158,27.5
159,27.5
160,27.5
161,27.5
162,27.5
163,27.5
164,27.5
165,27.5
166,27.5
167,27.5
168,27.5
169,27.5
170,27.5
171,27.5
172,27.5
173,27.5
174,27.5
175,27.5
176,27.5
177,27.5
178,27.5
179,27.5
180,27.5
181,27.5
182,27.5
183,27.5
184,27.5
185,27.5
186,27.5
187,27.5
188,27.5
189,27.5
190,27.5
191,27.5
192,27.5
193,27.5
194,27.5
195,27.5
196,27.5
197,27.5
198,27.5
199,27.5
200,27.5
201,27.5
202,27.5
203,27.5
204,27.5
205,27.5
206,27.5
207,27.5
208,27.5
209,27.5
210,27.5
211,27.5
212,27.5
213,27.5
214,27.5
215,27.5
216,27.5
217,27.5
218,27.5
219,27.5
220,27.5
221,27.5
222,27.5
223,27.5
224,27.5
225,27.5
226,27.5
227,27.5
228,27.5
229,27.5
230,27.5
231,27.5
232,27.5
233,27.5
234,27.5
235,27.5
236,27.5
237,27.5
238,27.5
239,27.5
240,27.5
241,27.5
242,27.5
243,27.5
244,27.5
245,27.5
246,27.5
247,27.5
248,27.5
249,27.5
250,27.5
251,27.5
252,27.5
253,27.5
254,27.5
255,27.5
256,27.5
257,27.5
258,27.5
259,27.5
260,27.5
261,27.5
262,27.5
263,27.5
264,27.5
265,27.5
266,27.5
267,27.5
268,27.5
269,27.5
270,27.5
271,27.5
272,27.5
273,27.5
274,27.5
275,27.5
276,27.5
277,27.5
278,27.5
279,27.5
280,27.5
281,27.5
282,27.5
283,27.5
284,27.5
285,27.5
286,27.5
287,27.5
288,27.5
289,27.5
290,27.5
291,27.5
292,27.5
293,27.5
294,27.5
295,27.5
296,27.5
297,27.5
298,27.5
299,27.5
300,27.5
301,27.5
302,27.5
303,27.5
304,27.5
305,27.5
306,27.5
307,27.5
308,27.5
309,27.5
310,27.5
311,27.5
312,27.5
313,27.5
314,27.5
315,27.5
316,27.5
317,27.5
318,27.5
319,27.5
320,27.5
321,27.5
322,27.5
323,27.5
324,27.5
325,27.5
326,27.5
327,27.5
328,27.5
329,27.5
330,27.5
331,27.5
332,27.5
333,27.5
334,27.5
335,27.5
336,27.5
337,27.5
338,27.5
339,27.5
340,27.5
341,27.5
342,27.5
343,27.5
344,27.5
345,27.5
346,27.5
347,27.5
348,27.5
349,27.5
350,27.5
351,27.5
352,27.5
353,27.5
354,27.5
355,27.5
356,27.5
357,27.5
358,27.5
359,27.5
360,27.5
361,27.5
362,27.5
363,27.5
364,27.5
365,27.5
366,27.5
367,27.5
368,27.5
369,27.5
370,27.5
371,27.5
372,27.5
373,27.5
374,27.5
375,27.5
376,27.5
377,27.5
378,27.5
379,27.5
380,27.5
381,27.5
382,27.5
383,27.5
384,27.5
385,27.5
386,27.5
387,27.5
388,27.5
389,27.5
390,27.5
391,27.5
392,27.5
393,27.5
394,27.5
395,27.5
396,27.5
397,27.5
398,27.5
399,27.5
400,27.5
401,27.5
402,27.5
403,27.5
404,27.5
405,27.5
406,27.5
407,27.5
408,27.5
409,27.5
410,27.5
411,27.5
412,27.5
413,27.5
414,27.5
415,27.5
416,27.5
417,27.5
418,27.5
419,27.5
420,27.5
421,27.5
422,27.5
423,27.5
424,27.5
425,27.5
426,27.5
427,27.5
428,27.5
429,27.5
430,27.5
431,27.5
432,27.5
433,27.5
434,27.5
435,27.5
436,27.5
437,27.5
438,27.5
439,27.5
440,27.5
441,27.5
442,27.5
443,27.5
444,27.5
445,27.5
446,27.5
447,27.5
448,27.5
449,27.5
450,27.5
451,27.5
452,27.5
453,27.5
454,27.5
455,27.5
456,27.5
457,27.5
458,27.5
459,27.5
460,27.5
461,27.5
462,27.5
463,27.5
464,27.5
465,27.5
466,27.5
467,27.5
468,27.5
469,27.5
470,27.5
471,27.5
472,27.5
473,27.5
474,27.5
475,27.5
476,27.5
477,27.5
478,27.5
479,27.5
480,27.5
481,27.5
482,27.5
483,27.5
484,27.5
485,27.5
486,27.5
487,27.5
488,27.5
489,27.5
490,27.5
491,27.5
492,27.5
493,27.5
494,27.5
495,27.5
496,27.5
497,27.5
498,27.5
499,27.5
500,27.5
501,27.5
502,27.5
503,27.5
504,27.5
505,27.5
506,27.5
507,27.5
508,27.5
509,27.5
510,27.5
511,27.5
512,27.5
513,27.5
514,27.5
515,27.5
516,27.5
517,27.5
518,27.5
519,27.5
520,27.5
521,27.5
522,27.5
523,27.5
524,27.5
525,27.5
526,27.5
527,27.5
528,27.5
529,27.5
530,27.5
531,27.5
532,27.5
533,27.5
534,27.5
535,27.5
536,27.5
537,27.5
538,27.5
539,27.5
540,27.5
541,27.5
542,27.5
543,27.5
544,27.5
545,27.5
546,27.5
547,27.5
548,27.5
549,27.5
550,27.5
551,27.5
552,27.5
553,27.5
554,27.5
555,27.5
556,27.5
557,27.5
558,27.5
559,27.5
560,27.5
561,27.5
562,27.5
563,27.5
564,27.5
565,27.5
566,27.5
567,27.5
568,27.5
569,27.5
570,27.5
571,27.5
572,27.5
573,27.5
574,27.5
575,27.5
576,27.5
577,27.5
578,27.5
579,27.5
580,27.5
581,27.5
582,27.5
583,27.5
584,27.5
585,27.5
586,27.5
587,27.5
588,27.5
589,27.5
590,27.5
591,27.5
592,27.5
593,27.5
594,27.5
595,27.5
596,27.5
597,27.5
598,27.5
599,27.5
600,27.5
601,27.5
602,27.5
603,27.5
604,27.5
605,27.5
606,27.5
607,27.5
608,27.5
609,27.5
610,27.5
611,27.5
612,27.5
613,27.5
614,27.5
615,27.5
616,27.5
617,27.5
618,27.5
619,27.5
620,27.5
621,27.5
622,27.5
623,27.5
624,27.5
625,27.5
626,27.5
627,27.5
628,27.5
629,27.5
630,27.5
631,27.5
632,27.5
633,27.5
634,27.5
635,27.5
636,27.5
637,27.5
638,27.5
639,27.5
640,27.5
641,27.5
642,27.5
643,27.5
644,27.5
645,27.5
646,27.5
647,27.5
648,27.5
649,27.5
650,27.5
651,27.5
652,27.5
653,27.5
654,27.5
655,27.5
656,27.5
657,27.5
658,27.5
659,27.5
660,27.5
661,27.5
662,27.5
663,27.5
664,27.5
665,27.5
666,27.5
667,27.5
668,27.5
669,27.5
670,27.5
671,27.5
672,27.5